time,share_id,close_b19,close_b18,close_b17,close_b16,close_b15,close_b14,close_b13,close_b12,close_b11,close_b10,close_b9,close_b8,close_b7,close_b6,close_b5,close_b4,close_b3,close_b2,close_b1,close_b0,target_close_price,target_trend
20080131,600485.SH,1.0,1.0146,1.0132,0.9332,1.0166,1.0567,1.021,1.0079,1.0294,1.0029,1.0708,0.9816,1.0166,0.9,1.0803,1.0095,0.9546,0.9078,1.0281,1.0031,0.925,0
20080130,600485.SH,1.0,0.9837,1.0146,1.0132,0.9332,1.0166,1.0567,1.021,1.0079,1.0294,1.0029,1.0708,0.9816,1.0166,0.9,1.0803,1.0095,0.9546,0.9078,1.0281,1.0031,1
20080229,601628.SH,1.0,0.9,1.0175,0.9394,1.0043,1.0226,1.0822,0.9761,0.9445,1.0219,1.0049,1.0068,1.0055,0.9785,0.978,0.947,0.9358,1.0497,1.0392,0.9801,1.0306,1
20080228,601628.SH,1.0,1.03,0.9,1.0175,0.9394,1.0043,1.0226,1.0822,0.9761,0.9445,1.0219,1.0049,1.0068,1.0055,0.9785,0.978,0.947,0.9358,1.0497,1.0392,0.9801,0
20080227,601628.SH,1.0,0.9946,1.03,0.9,1.0175,0.9394,1.0043,1.0226,1.0822,0.9761,0.9445,1.0219,1.0049,1.0068,1.0055,0.9785,0.978,0.947,0.9358,1.0497,1.0392,1
20080226,601628.SH,1.0,1.0256,0.9946,1.03,0.9,1.0175,0.9394,1.0043,1.0226,1.0822,0.9761,0.9445,1.0219,1.0049,1.0068,1.0055,0.9785,0.978,0.947,0.9358,1.0497,1
20080225,601628.SH,1.0,0.9,1.0256,0.9946,1.03,0.9,1.0175,0.9394,1.0043,1.0226,1.0822,0.9761,0.9445,1.0219,1.0049,1.0068,1.0055,0.9785,0.978,0.947,0.9358,0
20080222,601628.SH,1.0,0.9124,0.9,1.0256,0.9946,1.03,0.9,1.0175,0.9394,1.0043,1.0226,1.0822,0.9761,0.9445,1.0219,1.0049,1.0068,1.0055,0.9785,0.978,0.947,0
20080221,601628.SH,1.0,0.991,0.9124,0.9,1.0256,0.9946,1.03,0.9,1.0175,0.9394,1.0043,1.0226,1.0822,0.9761,0.9445,1.0219,1.0049,1.0068,1.0055,0.9785,0.978,0
20080220,601628.SH,1.0,0.9744,0.991,0.9124,0.9,1.0256,0.9946,1.03,0.9,1.0175,0.9394,1.0043,1.0226,1.0822,0.9761,0.9445,1.0219,1.0049,1.0068,1.0055,0.9785,0
